episode,cumulative_reward,steps,epsilon,reward (rolling avg),steps (rolling avg)
185,997.3,28.0,0.15735328210778965,997.8220000000001,22.78
186,998.1,20.0,0.15577974928671176,997.842,22.58
187,997.3,28.0,0.15422195179384465,997.8300000000002,22.7
188,998.1,20.0,0.1526797322759062,997.8380000000001,22.62
189,997.1,30.0,0.15115293495314713,997.83,22.7
190,998.1,20.0,0.14964140560361566,997.834,22.66
191,997.9,22.0,0.1481449915475795,997.8580000000001,22.42
192,997.7,24.0,0.1466635416321037,997.862,22.38
193,997.9,22.0,0.14519690621578268,997.8660000000001,22.34
194,997.7,24.0,0.14374493715362485,997.8659999999999,22.34
195,997.3,28.0,0.1423074877820886,997.8779999999999,22.22
196,997.5,26.0,0.1408844129042677,997.8820000000001,22.18
197,997.3,28.0,0.13947556877522502,997.8860000000001,22.14
198,997.9,22.0,0.13808081308747278,997.8660000000002,22.34
199,997.7,24.0,0.13670000495659804,997.862,22.38
200,997.5,26.0,0.13533300490703207,997.8619999999999,22.38
201,997.3,28.0,0.13397967485796175,997.846,22.54
202,998.1,20.0,0.13263987810938213,997.846,22.54
203,998.1,20.0,0.1313134793282883,997.85,22.5
204,998.1,20.0,0.13000034453500542,997.826,22.74
205,997.7,24.0,0.12870034108965536,997.83,22.7
206,998.2,19.0,0.12741333767875881,997.8319999999999,22.68
207,997.5,26.0,0.12613920430197123,997.824,22.76
208,997.9,22.0,0.12487781225895152,997.8240000000001,22.76
209,997.9,22.0,0.123629034136362,997.8320000000001,22.68
210,997.9,22.0,0.12239274379499838,997.8439999999999,22.56
211,998.1,20.0,0.1211688163570484,997.814,22.86
212,997.9,22.0,0.11995712819347792,997.81,22.9
213,998.1,20.0,0.11875755691154315,997.81,22.9
214,997.9,22.0,0.11756998134242772,997.8179999999999,22.82
215,997.9,22.0,0.11639428152900344,997.8220000000001,22.78
216,997.5,26.0,0.11523033871371341,997.8140000000001,22.86
217,997.9,22.0,0.11407803532657627,997.8340000000001,22.66
218,997.9,22.0,0.11293725497331052,997.83,22.7
219,998.1,20.0,0.1118078824235774,997.842,22.58
220,998.4,17.0,0.11068980359934164,997.8560000000001,22.44
221,997.9,22.0,0.10958290556334822,997.836,22.64
222,997.3,28.0,0.10848707650771475,997.828,22.72
223,997.9,22.0,0.1074022057426376,997.8240000000001,22.76
224,998.1,20.0,0.10632818368521123,997.824,22.76
225,997.9,22.0,0.10526490184835911,997.824,22.76
226,997.9,22.0,0.10421225282987552,997.824,22.76
227,997.9,22.0,0.10317013030157676,997.828,22.72
228,997.1,30.0,0.10213842899856099,997.8079999999999,22.92
229,998.9,12.0,0.10111704470857538,997.824,22.76
230,998.1,20.0,0.10010587426148963,997.8279999999999,22.72
231,998.1,20.0,0.09910481551887473,997.8359999999999,22.64
232,998.1,20.0,0.09811376736368599,997.8359999999999,22.64
233,998.1,20.0,0.09713262969004913,997.8399999999998,22.6
234,997.9,22.0,0.09616130339314863,997.84,22.6
235,998.1,20.0,0.09519969035921715,997.8560000000001,22.44
236,998.1,20.0,0.09424769345562498,997.8559999999999,22.44
237,997.9,22.0,0.09330521652106873,997.8679999999999,22.32
238,997.9,22.0,0.09237216435585804,997.8639999999999,22.36
239,997.9,22.0,0.09144844271229946,997.88,22.2
240,997.9,22.0,0.09053395828517646,997.8760000000001,22.24
241,997.7,24.0,0.08962861870232469,997.872,22.28
242,997.9,22.0,0.08873233251530144,997.8759999999999,22.24
243,997.9,22.0,0.08784500919014843,997.8760000000001,22.24
244,998.1,20.0,0.08696655909824694,997.8839999999999,22.16
245,997.9,22.0,0.08609689350726446,997.896,22.04
246,997.9,22.0,0.08523592457219181,997.9040000000001,21.96
247,997.7,24.0,0.0843835653264699,997.9119999999999,21.88
248,997.9,22.0,0.0835397296732052,997.9119999999999,21.88
249,997.9,22.0,0.08270433237647315,997.916,21.84
250,998.1,20.0,0.08187728905270841,997.928,21.72
251,997.7,24.0,0.08105851616218133,997.9359999999999,21.64
252,997.5,26.0,0.08024793100055952,997.924,21.76
253,997.9,22.0,0.07944545169055392,997.92,21.8
